num_epochs,hidden_layer_dim,batch_size,lr,test_accuracy
50,16,16,0.001,0.8858695652173914
50,16,16,0.01,0.875
50,16,16,0.1,0.8641304347826086
50,16,32,0.001,0.875
50,16,32,0.01,0.8695652173913043
50,16,32,0.1,0.8695652173913043
50,16,64,0.001,0.8804347826086957
50,16,64,0.01,0.8804347826086957
50,16,64,0.1,0.842391304347826
50,32,16,0.001,0.8586956521739131
50,32,16,0.01,0.9021739130434783
50,32,16,0.1,0.8586956521739131
50,32,32,0.001,0.8641304347826086
50,32,32,0.01,0.8641304347826086
50,32,32,0.1,0.8260869565217391
50,32,64,0.001,0.8641304347826086
50,32,64,0.01,0.8858695652173914
50,32,64,0.1,0.8586956521739131
50,64,16,0.001,0.875
50,64,16,0.01,0.8967391304347826
50,64,16,0.1,0.8532608695652174
50,64,32,0.001,0.8804347826086957
50,64,32,0.01,0.8804347826086957
50,64,32,0.1,0.8478260869565217
50,64,64,0.001,0.8695652173913043
50,64,64,0.01,0.8532608695652174
50,64,64,0.1,0.8532608695652174
50,128,16,0.001,0.8641304347826086
50,128,16,0.01,0.8695652173913043
50,128,16,0.1,0.8641304347826086
50,128,32,0.001,0.8586956521739131
50,128,32,0.01,0.8641304347826086
50,128,32,0.1,0.9021739130434783
50,128,64,0.001,0.8586956521739131
50,128,64,0.01,0.8967391304347826
50,128,64,0.1,0.8695652173913043
100,16,16,0.001,0.8804347826086957
100,16,16,0.01,0.875
100,16,16,0.1,0.8641304347826086
100,16,32,0.001,0.8858695652173914
100,16,32,0.01,0.8532608695652174
100,16,32,0.1,0.8586956521739131
100,16,64,0.001,0.8804347826086957
100,16,64,0.01,0.8858695652173914
100,16,64,0.1,0.8913043478260869
100,32,16,0.001,0.8478260869565217
100,32,16,0.01,0.8695652173913043
100,32,16,0.1,0.8586956521739131
100,32,32,0.001,0.8641304347826086
100,32,32,0.01,0.9021739130434783
100,32,32,0.1,0.8478260869565217
100,32,64,0.001,0.8586956521739131
100,32,64,0.01,0.8478260869565217
100,32,64,0.1,0.8858695652173914
100,64,16,0.001,0.8695652173913043
100,64,16,0.01,0.8641304347826086
100,64,16,0.1,0.8695652173913043
100,64,32,0.001,0.8695652173913043
100,64,32,0.01,0.8804347826086957
100,64,32,0.1,0.8043478260869565
100,64,64,0.001,0.8695652173913043
100,64,64,0.01,0.8804347826086957
100,64,64,0.1,0.875
100,128,16,0.001,0.875
100,128,16,0.01,0.8967391304347826
100,128,16,0.1,0.8532608695652174
100,128,32,0.001,0.8586956521739131
100,128,32,0.01,0.8804347826086957
100,128,32,0.1,0.8804347826086957
100,128,64,0.001,0.8641304347826086
100,128,64,0.01,0.8913043478260869
100,128,64,0.1,0.8967391304347826
